Season,Year,Week,Day,FullDate,FullTime,Home,Opp,W,TeamScore,OppScore,Differential
2014,2014,1,Sun,2014-09-07,13:02:00,0,Jacksonville Jaguars,1,34.0,17.0,17.0
2014,2014,2,Mon,2014-09-15,20:31:00,1,Indianapolis Colts,1,30.0,27.0,3.0
2014,2014,3,Sun,2014-09-21,13:02:00,0,Washington Redskins,1,37.0,34.0,3.0
2014,2014,4,Sun,2014-09-28,16:25:00,1,San Francisco 49ers,0,21.0,26.0,-5.0
2014,2014,5,Sun,2014-10-05,13:02:00,0,St. Louis Rams,1,34.0,28.0,6.0
2014,2014,6,Sun,2014-10-12,20:41:00,0,New York Giants,1,27.0,0.0,27.0
2014,2014,8,Sun,2014-10-26,16:05:00,1,Arizona Cardinals,0,20.0,24.0,-4.0
2014,2014,9,Sun,2014-11-02,13:03:00,1,Houston Texans,1,31.0,21.0,10.0
2014,2014,10,Mon,2014-11-10,20:32:00,0,Carolina Panthers,1,45.0,21.0,24.0
2014,2014,11,Sun,2014-11-16,16:25:00,1,Green Bay Packers,0,20.0,53.0,-33.0
2014,2014,12,Sun,2014-11-23,13:02:00,0,Tennessee Titans,1,43.0,24.0,19.0
2014,2014,13,Thu,2014-11-27,16:36:00,1,Dallas Cowboys,1,33.0,10.0,23.0
2014,2014,14,Sun,2014-12-07,16:25:00,0,Seattle Seahawks,0,14.0,24.0,-10.0
2014,2014,15,Sun,2014-12-14,20:35:00,0,Dallas Cowboys,0,27.0,38.0,-11.0
2014,2014,16,Sat,2014-12-20,16:30:00,1,Washington Redskins,0,24.0,27.0,-3.0
2014,2014,17,Sun,2014-12-28,13:02:00,1,New York Giants,1,34.0,26.0,8.0
2015,2015,1,Mon,2015-09-14,19:10:00,1,Atlanta Falcons,0,24.0,26.0,-2.0
2015,2015,2,Sun,2015-09-20,16:25:00,0,Dallas Cowboys,0,10.0,20.0,-10.0
2015,2015,3,Sun,2015-09-27,13:03:00,1,New York Jets,1,24.0,17.0,7.0
2015,2015,4,Sun,2015-10-04,13:03:00,1,Washington Redskins,0,20.0,23.0,-3.0
2015,2015,5,Sun,2015-10-11,13:04:00,0,New Orleans Saints,1,39.0,17.0,22.0
2015,2015,6,Mon,2015-10-19,20:30:00,0,New York Giants,1,27.0,7.0,20.0
2015,2015,7,Sun,2015-10-25,20:31:00,1,Carolina Panthers,0,16.0,27.0,-11.0
2015,2015,9,Sun,2015-11-08,20:31:00,1,Dallas Cowboys,1,33.0,27.0,6.0
2015,2015,10,Sun,2015-11-15,13:05:00,0,Miami Dolphins,0,19.0,20.0,-1.0
2015,2015,11,Sun,2015-11-22,13:02:00,0,Tampa Bay Buccaneers,0,17.0,45.0,-28.0
2015,2015,12,Thu,2015-11-26,12:35:00,1,Detroit Lions,0,14.0,45.0,-31.0
2015,2015,13,Sun,2015-12-06,16:25:00,1,New England Patriots,1,35.0,28.0,7.0
2015,2015,14,Sun,2015-12-13,13:01:00,0,Buffalo Bills,1,23.0,20.0,3.0
2015,2015,15,Sun,2015-12-20,20:31:00,0,Arizona Cardinals,0,17.0,40.0,-23.0
2015,2015,16,Sat,2015-12-26,20:26:00,0,Washington Redskins,0,24.0,38.0,-14.0
2015,2016,17,Sun,2016-01-03,13:03:00,1,New York Giants,1,35.0,30.0,5.0
2016,2016,1,Sun,2016-09-11,13:05:00,0,Cleveland Browns,1,29.0,10.0,19.0
2016,2016,2,Mon,2016-09-19,20:30:00,1,Chicago Bears,1,29.0,14.0,15.0
2016,2016,3,Sun,2016-09-25,16:25:00,0,Pittsburgh Steelers,1,34.0,3.0,31.0
2016,2016,5,Sun,2016-10-09,13:02:00,1,Detroit Lions,0,23.0,24.0,-1.0
2016,2016,6,Sun,2016-10-16,13:03:00,1,Washington Redskins,0,20.0,27.0,-7.0
2016,2016,7,Sun,2016-10-23,13:02:00,0,Minnesota Vikings,1,21.0,10.0,11.0
2016,2016,8,Sun,2016-10-30,20:31:00,1,Dallas Cowboys,0,23.0,29.0,-6.0
2016,2016,9,Sun,2016-11-06,13:00:00,1,New York Giants,0,23.0,28.0,-5.0
2016,2016,10,Sun,2016-11-13,13:00:00,0,Atlanta Falcons,1,24.0,15.0,9.0
2016,2016,11,Sun,2016-11-20,16:25:00,1,Seattle Seahawks,0,15.0,26.0,-11.0
2016,2016,12,Mon,2016-11-28,20:30:00,0,Green Bay Packers,0,13.0,27.0,-14.0
2016,2016,13,Sun,2016-12-04,13:00:00,1,Cincinnati Bengals,0,14.0,32.0,-18.0
2016,2016,14,Sun,2016-12-11,13:00:00,0,Washington Redskins,0,22.0,27.0,-5.0
2016,2016,15,Sun,2016-12-18,13:00:00,1,Baltimore Ravens,0,26.0,27.0,-1.0
2016,2016,16,Thu,2016-12-22,20:25:00,0,New York Giants,1,24.0,19.0,5.0
2016,2017,17,Sun,2017-01-01,13:00:00,0,Dallas Cowboys,1,27.0,13.0,14.0
2017,2017,1,Sun,2017-09-10,13:00:00,1,Washington Redskins,1,30.0,17.0,13.0
2017,2017,2,Sun,2017-09-17,13:00:00,1,Kansas City Chiefs,0,20.0,27.0,-7.0
