,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms,Season
1,Sun,September 7,1:02PM ET,boxscore,W,,1-0,,Jacksonville Jaguars,34,17,24,420,275,145,3,18,306,242,64,1,-2.13,12.73,3.49,2014
2,Mon,September 15,8:31PM ET,boxscore,W,,2-0,@,Indianapolis Colts,30,27,24,458,331,127,1,25,341,172,169,2,18.41,-6.06,-8.5,2014
3,Sun,September 21,1:02PM ET,boxscore,W,,3-0,,Washington Redskins,37,34,22,379,325,54,1,27,511,427,84,1,10.89,-18.48,10.95,2014
4,Sun,September 28,4:25PM ET,boxscore,L,,3-1,@,San Francisco 49ers,21,26,11,213,191,22,4,20,407,189,218,1,-19.02,5.23,6.62,2014
5,Sun,October 5,1:02PM ET,boxscore,W,,4-1,,St. Louis Rams,34,28,22,352,207,145,3,29,466,341,125,3,1.74,-2.19,7.68,2014
6,Sun,October 12,8:41PM ET,boxscore,W,,5-1,,New York Giants,27,0,24,448,245,203,2,12,254,168,86,1,5.15,20.71,-1.58,2014
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,,2014
8,Sun,October 26,4:05PM ET,boxscore,L,,5-2,@,Arizona Cardinals,20,24,27,521,411,110,3,17,400,329,71,1,1.32,-5.78,0.98,2014
9,Sun,November 2,1:03PM ET,boxscore,W,,6-2,@,Houston Texans,31,21,30,483,293,190,4,15,300,182,118,1,10.92,-1.65,2.48,2014
10,Mon,November 10,8:32PM ET,boxscore,W,,7-2,,Carolina Panthers,45,21,17,365,328,37,,21,317,215,102,5,1.81,17.03,2.54,2014
11,Sun,November 16,4:25PM ET,boxscore,L,,7-3,@,Green Bay Packers,20,53,22,429,320,109,4,25,475,365,110,,-16.68,-18.74,8.69,2014
12,Sun,November 23,1:02PM ET,boxscore,W,,8-3,,Tennessee Titans,43,24,26,462,298,164,2,16,351,299,52,3,5.97,8.37,4.66,2014
13,Thu,November 27,4:36PM ET,boxscore,W,,9-3,@,Dallas Cowboys,33,10,26,464,208,256,1,16,267,174,93,3,15.42,11.84,-4.28,2014
14,Sun,December 7,4:25PM ET,boxscore,L,,9-4,,Seattle Seahawks,14,24,9,139,82,57,2,28,440,252,188,2,-13.24,-6.79,5.36,2014
15,Sun,December 14,8:35PM ET,boxscore,L,,9-5,,Dallas Cowboys,27,38,19,294,219,75,3,26,364,249,115,1,1.4,-10.61,-0.33,2014
16,Sat,December 20,4:30PM ET,boxscore,L,,9-6,@,Washington Redskins,24,27,30,495,361,134,2,21,305,205,100,2,14.76,-13.47,-1.73,2014
17,Sun,December 28,1:02PM ET,boxscore,W,,10-6,@,New York Giants,34,26,23,426,262,164,1,22,505,429,76,1,9.69,-3.98,5.05,2014
1,Mon,September 14,7:10PM ET,boxscore,L,,0-1,@,Atlanta Falcons,24,26,23,399,336,63,2,21,395,290,105,2,-0.47,2.18,-8.59,2015
2,Sun,September 20,4:25PM ET,boxscore,L,,0-2,,Dallas Cowboys,10,20,17,226,219,7,3,21,359,250,109,2,-15.51,6.08,-1.73,2015
3,Sun,September 27,1:03PM ET,boxscore,W,,1-2,@,New York Jets,24,17,18,231,108,123,1,19,323,276,47,4,-9.49,13,4.25,2015
4,Sun,October 4,1:03PM ET,boxscore,L,,1-3,@,Washington Redskins,20,23,14,320,233,87,2,25,417,290,127,1,5.79,-8.47,-0.35,2015
5,Sun,October 11,1:04PM ET,boxscore,W,,2-3,,New Orleans Saints,39,17,34,519,333,186,2,19,388,292,96,4,12.67,8.19,1.01,2015
6,Mon,October 19,8:30PM ET,boxscore,W,,3-3,,New York Giants,27,7,24,428,270,158,4,18,247,166,81,3,-2.91,20.67,5.09,2015
