GP,Date,HomeAway,Opponent,GF,GA,WinLoss,OTSO,W,L,OL,Streak,Attend.,LOG
41,1/2/2014,@,Colorado Avalanche,1,2,L,,20,17,4,L 1,NA,NA
42,1/4/2014,@,Phoenix Coyotes,5,3,W,,21,17,4,W 1,NA,NA
43,1/7/2014,@,New Jersey Devils,3,2,W,OT,22,17,4,W 2,NA,NA
44,1/8/2014,,Montreal Canadiens,3,1,W,,23,17,4,W 3,NA,NA
45,1/11/2014,,Tampa Bay Lightning,3,6,L,,23,18,4,L 1,NA,NA
46,1/12/2014,@,New York Rangers,1,4,L,,23,19,4,L 2,NA,NA
47,1/14/2014,@,Buffalo Sabres,4,3,W,,24,19,4,W 1,NA,NA
48,1/16/2014,,Nashville Predators,3,4,L,SO,24,19,5,L 1,NA,NA
49,1/18/2014,,New York Islanders,6,4,W,,25,19,5,W 1,NA,NA
50,1/20/2014,@,New York Islanders,3,4,L,SO,25,19,6,L 1,NA,NA
51,1/22/2014,,Carolina Hurricanes,2,3,L,,25,20,6,L 2,NA,NA
52,1/23/2014,@,Columbus Blue Jackets,2,5,L,,25,21,6,L 3,NA,NA
53,1/25/2014,,Boston Bruins,1,6,L,,25,22,6,L 4,NA,NA
54,1/28/2014,,Detroit Red Wings,5,0,W,,26,22,6,W 1,NA,NA
55,1/30/2014,@,Anaheim Ducks,3,5,L,,26,23,6,L 1,NA,NA
56,2/1/2014,@,Los Angeles Kings,2,0,W,,27,23,6,W 1,NA,NA
57,2/3/2014,@,San Jose Sharks,5,2,W,,28,23,6,W 2,NA,NA
58,2/6/2014,,Colorado Avalanche,3,1,W,,29,23,6,W 3,NA,NA
59,2/8/2014,,Calgary Flames,2,1,W,,30,23,6,W 4,NA,NA
60,2/27/2014,,San Jose Sharks,3,7,L,,30,24,6,L 1,NA,NA
61,3/1/2014,,New York Rangers,4,2,W,,31,24,6,W 1,NA,NA
62,3/2/2014,@,Washington Capitals,5,4,W,OT,32,24,6,W 2,NA,NA
63,3/5/2014,,Washington Capitals,6,4,W,,33,24,6,W 3,NA,NA
64,3/8/2014,@,Toronto Maple Leafs,3,4,L,OT,33,24,7,L 1,NA,NA
65,3/11/2014,,New Jersey Devils,1,2,L,,33,25,7,L 2,NA,NA
66,3/15/2014,,Pittsburgh Penguins,4,0,W,,34,25,7,W 1,NA,NA
67,3/16/2014,@,Pittsburgh Penguins,4,3,W,,35,25,7,W 2,NA,NA
68,3/18/2014,,Chicago Blackhawks,3,2,W,OT,36,25,7,W 3,NA,NA
69,3/20/2014,,Dallas Stars,4,2,W,,37,25,7,W 4,NA,NA
70,3/22/2014,,St. Louis Blues,4,1,W,,38,25,7,W 5,NA,NA
71,3/24/2014,,Los Angeles Kings,2,3,L,,38,26,7,L 1,NA,NA
72,3/26/2014,@,New York Rangers,1,3,L,,38,27,7,L 2,NA,NA
73,3/28/2014,,Toronto Maple Leafs,4,2,W,,39,27,7,W 1,NA,NA
74,3/30/2014,,Boston Bruins,3,4,L,SO,39,27,8,L 1,NA,NA
75,4/1/2014,@,St. Louis Blues,0,1,L,SO,39,27,9,L 2,NA,NA
76,4/3/2014,,Columbus Blue Jackets,0,2,L,,39,28,9,L 3,NA,NA
77,4/5/2014,@,Boston Bruins,2,5,L,,39,29,9,L 4,NA,NA
78,4/6/2014,,Buffalo Sabres,5,2,W,,40,29,9,W 1,NA,NA
79,4/8/2014,@,Florida Panthers,5,2,W,,41,29,9,W 2,NA,NA
80,4/10/2014,@,Tampa Bay Lightning,2,4,L,,41,30,9,L 1,NA,NA
81,4/12/2014,@,Pittsburgh Penguins,4,3,W,OT,42,30,9,W 1,NA,NA
82,4/13/2014,,Carolina Hurricanes,5,6,L,SO,42,30,10,L 1,NA,NA
1,4/17/2014,@,New York Rangers,1,4,L,,0,1,L 1,,NA,NA
2,4/20/2014,@,New York Rangers,4,2,W,,1,1,W 1,,NA,NA
3,4/22/2014,,New York Rangers,1,4,L,,1,2,L 1,,NA,NA
4,4/25/2014,,New York Rangers,2,1,W,,2,2,W 1,,NA,NA
5,4/27/2014,@,New York Rangers,2,4,L,,2,3,L 1,,NA,NA
6,4/29/2014,,New York Rangers,5,2,W,,3,3,W 1,,NA,NA
7,4/30/2014,@,New York Rangers,1,2,L,,3,4,L 1,,NA,NA
1,10/8/2014,@,Boston Bruins,1,2,L,,0,1,0,L 1,NA,NA
2,10/9/2014,,New Jersey Devils,4,6,L,,0,2,0,L 2,NA,NA
3,10/11/2014,,Montreal Canadiens,3,4,L,SO,0,2,1,L 3,NA,NA
4,10/14/2014,,Anaheim Ducks,3,4,L,SO,0,2,2,L 4,NA,NA
5,10/18/2014,@,Dallas Stars,6,5,W,OT,1,2,2,W 1,NA,NA
6,10/21/2014,@,Chicago Blackhawks,0,4,L,,1,3,2,L 1,NA,NA
7,10/22/2014,@,Pittsburgh Penguins,5,3,W,,2,3,2,W 1,NA,NA
8,10/25/2014,,Detroit Red Wings,4,2,W,,3,3,2,W 2,NA,NA
