"Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","cLI","Streak","Orig..Scheduled","Year"
1,"Monday Mar 31","boxscore","PHI","@","TEX","W",14,10,NA,"1-0",1,"Tied","Lee","Figueroa","","3:36","D",49031,0.96,"+","",2014
2,"Tuesday Apr 1","boxscore","PHI","@","TEX","L-wo",2,3,NA,"1-1",3,"1.0","Soria","Hollands","","3:14","N",29530,0.98,"-","",2014
3,"Wednesday Apr 2","boxscore","PHI","@","TEX","L-wo",3,4,NA,"1-2",4,"1.5","Rosin","Papelbon","","3:02","N",28218,0.88,"--","",2014
4,"Friday Apr 4","boxscore","PHI","@","CHC","W",7,2,NA,"2-2",4,"1.5","Hernández","Wood","","3:16","D",38283,0.88,"+","",2014
5,"Saturday Apr 5","boxscore","PHI","@","CHC","W",2,0,NA,"3-2",3,"1.5","Lee","Samardzija","Papelbon","2:53","D",30651,0.92,"++","",2014
6,"Sunday Apr 6","boxscore","PHI","@","CHC","L",3,8,NA,"3-3",4,"1.5","Villanueva","Burnett","","3:14","D",26712,0.95,"-","",2014
7,"Tuesday Apr 8","boxscore","PHI","","MIL","L",4,10,NA,"3-4",4,"2.0","Lohse","Kendrick","","3:32","D",45061,0.98,"--","2014-04-07 (Rain)",2014
8,"Wednesday Apr 9","boxscore","PHI","","MIL","L",4,9,NA,"3-5",4,"3.0","Thornburg","Bastardo","","3:24","N",31168,0.9,"---","",2014
9,"Thursday Apr 10","boxscore","PHI","","MIL","L",2,6,NA,"3-6",5,"4.0","Estrada","Lee","","2:48","N",25492,0.82,"----","",2014
10,"Friday Apr 11","boxscore","PHI","","MIA","W",6,3,NA,"4-6",4,"3.0","Diekman","Fernández","Papelbon","3:15","N",22283,0.89,"+","",2014
11,"Saturday Apr 12","boxscore","PHI","","MIA","W-wo",5,4,10,"5-6",3,"2.0","Rosenberg","Jennings","","3:29","N",27760,0.93,"++","",2014
12,"Sunday Apr 13","boxscore","PHI","","MIA","W",4,3,NA,"6-6",3,"2.0","Bastardo","Dunn","Papelbon","3:12","D",34272,0.97,"+++","",2014
13,"Monday Apr 14","boxscore","PHI","","ATL","L",6,9,NA,"6-7",3,"3.0","Avilán","Diekman","Carpenter","3:41","N",26516,1.05,"-","",2014
14,"Wednesday Apr 16","boxscore","PHI","","ATL","L",0,1,NA,"6-8",4,"4.0","Teheran","Lee","","2:29","N",23382,1.05,"--","",2014
15,"Thursday Apr 17","boxscore","PHI","","ATL","W",1,0,NA,"7-8",4,"3.0","Bastardo","Wood","Papelbon","2:28","D",25750,0.95,"+","",2014
16,"Friday Apr 18","boxscore","PHI","@","COL","L",1,12,NA,"7-9",4,"4.0","Chatwood","Pettibone","","2:48","N",35705,0.87,"-","",2014
