Game,Date,Tm,Opp,W.L,R,RA,Rank_Standings,Game_Length,Day_Night,Attendance,CLI,Streak,Home,FullDate,Year,start_time_ET
1,3/31/2014,PHI,TEX,W,14,10,1,3:36,D,49031,0.96,+,1,Monday Mar 31 2014,2014,2:05 PM
2,4/1/2014,PHI,TEX,L-wo,2,3,3,3:14,N,29530,0.98,-,1,Tuesday Apr 1 2014,2014,8:05 PM
3,4/2/2014,PHI,TEX,L-wo,3,4,4,3:02,N,28218,0.88,--,1,Wednesday Apr 2 2014,2014,8:05 PM
4,4/4/2014,PHI,CHC,W,7,2,4,3:16,D,38283,0.88,+,1,Friday Apr 4 2014,2014,2:20 PM
5,4/5/2014,PHI,CHC,W,2,0,3,2:53,D,30651,0.92,++,1,Saturday Apr 5 2014,2014,2:20 PM
6,4/6/2014,PHI,CHC,L,3,8,4,3:14,D,26712,0.95,-,1,Sunday Apr 6 2014,2014,2:20 PM
7,4/8/2014,PHI,MIL,L,4,10,4,3:32,D,45061,0.98,--,0,Tuesday Apr 8 2014,2014,3:05 PM
8,4/9/2014,PHI,MIL,L,4,9,4,3:24,N,31168,0.9,---,0,Wednesday Apr 9 2014,2014,7:05 PM
9,4/10/2014,PHI,MIL,L,2,6,5,2:48,N,25492,0.82,----,0,Thursday Apr 10 2014,2014,7:05 PM
10,4/11/2014,PHI,MIA,W,6,3,4,3:15,N,22283,0.89,+,0,Friday Apr 11 2014,2014,7:05 PM
11,4/12/2014,PHI,MIA,W-wo,5,4,3,3:29,N,27760,0.93,++,0,Saturday Apr 12 2014,2014,7:05 PM
12,4/13/2014,PHI,MIA,W,4,3,3,3:12,D,34272,0.97,+++,0,Sunday Apr 13 2014,2014,1:35 PM
13,4/14/2014,PHI,ATL,L,6,9,3,3:41,N,26516,1.05,-,0,Monday Apr 14 2014,2014,7:05 PM
14,4/16/2014,PHI,ATL,L,0,1,4,2:29,N,23382,1.05,--,0,Wednesday Apr 16 2014,2014,7:05 PM
15,4/17/2014,PHI,ATL,W,1,0,4,2:28,D,25750,0.95,+,0,Thursday Apr 17 2014,2014,1:05 PM
16,4/18/2014,PHI,COL,L,1,12,4,2:48,N,35705,0.87,-,1,Friday Apr 18 2014,2014,8:40 PM
17,4/19/2014,PHI,COL,L,1,3,5,2:23,N,31352,0.81,--,1,Saturday Apr 19 2014,2014,8:10 PM
18,4/20/2014,PHI,COL,W,10,9,5,4:08,D,33563,0.79,+,1,Sunday Apr 20 2014,2014,4:10 PM
19,4/21/2014,PHI,LAD,W,7,0,4,2:47,N,37715,0.83,++,1,Monday Apr 21 2014,2014,10:10 PM
20,4/22/2014,PHI,LAD,W,3,2,3,3:36,N,44826,0.89,+++,1,Tuesday Apr 22 2014,2014,10:10 PM
21,4/23/2014,PHI,LAD,L,2,5,4,2:52,N,40776,0.94,-,1,Wednesday Apr 23 2014,2014,10:10 PM
22,4/24/2014,PHI,LAD,W,7,3,4,3:33,N,51699,0.91,+,1,Thursday Apr 24 2014,2014,10:10 PM
23,4/25/2014,PHI,ARI,L,4,5,4,3:21,N,28168,0.96,-,1,Friday Apr 25 2014,2014,9:40 PM
24,4/26/2014,PHI,ARI,W,6,5,4,3:05,N,35462,0.85,+,1,Saturday Apr 26 2014,2014,8:10 PM
25,4/27/2014,PHI,ARI,W,2,0,4,2:37,D,30022,0.9,++,1,Sunday Apr 27 2014,2014,4:10 PM
26,4/29/2014,PHI,NYM,L,1,6,4,2:53,N,28189,1.08,-,0,Tuesday Apr 29 2014,2014,7:05 PM
27,5/2/2014,PHI,WSN,L,3,5,5,3:11,N,31945,1.03,--,0,Friday May 2 2014,2014,7:05 PM
28,5/3/2014,PHI,WSN,W,7,2,4,2:57,N,33441,1.01,+,0,Saturday May 3 2014,2014,7:05 PM
29,5/4/2014,PHI,WSN,W,1,0,4,2:45,D,37490,1.1,++,0,Sunday May 4 2014,2014,3:05 PM
30,5/5/2014,PHI,TOR,L,0,3,5,2:59,N,25275,0.93,-,0,Monday May 5 2014,2014,7:05 PM
31,5/6/2014,PHI,TOR,L,5,6,5,3:06,N,26057,0.89,--,0,Tuesday May 6 2014,2014,7:05 PM
32,5/7/2014,PHI,TOR,L,0,10,5,2:23,N,16446,0.93,---,1,Wednesday May 7 2014,2014,7:07 PM
33,5/8/2014,PHI,TOR,L,6,12,5,3:00,N,18158,0.86,----,1,Thursday May 8 2014,2014,7:07 PM
34,5/9/2014,PHI,NYM,W,3,2,4,4:39,N,30036,0.86,+,1,Friday May 9 2014,2014,7:10 PM
35,5/10/2014,PHI,NYM,W,5,4,4,3:16,N,29170,0.95,++,1,Saturday May 10 2014,2014,7:10 PM
36,5/11/2014,PHI,NYM,L-wo,4,5,4,4:22,D,28926,1.04,-,1,Sunday May 11 2014,2014,1:10 PM
