Game,Date,Start (ET),HomeAway,Opponent,WinLoss,OT,Tm,Opp,W,L,Streak,Attend.,LOG
31,1/1/2014,9:00p,@,Denver Nuggets,W,,114,102,10,21,W 2,16006,2:14:00 AM
32,1/2/2014,10:00p,@,Sacramento Kings,W,,113,104,11,21,W 3,16259,2:23:00 AM
33,1/4/2014,10:00p,@,Portland Trail Blazers,W,,101,99,12,21,W 4,20004,2:25:00 AM
34,1/6/2014,7:00p,,Minnesota Timberwolves,L,,95,126,12,22,L 1,10736,2:01:00 AM
35,1/7/2014,7:00p,@,Cleveland Cavaliers,L,,93,111,12,23,L 2,13344,2:07:00 AM
36,1/10/2014,7:00p,,Detroit Pistons,L,,104,114,12,24,L 3,13742,2:17:00 AM
37,1/11/2014,7:30p,,New York Knicks,L,,92,102,12,25,L 4,16278,2:16:00 AM
38,1/15/2014,7:00p,,Charlotte Bobcats,W,,95,92,13,25,W 1,10106,2:16:00 AM
39,1/17/2014,7:00p,,Miami Heat,L,,86,101,13,26,L 1,19286,2:22:00 AM
40,1/18/2014,8:00p,@,Chicago Bulls,L,,78,103,13,27,L 2,21710,2:11:00 AM
41,1/20/2014,2:00p,@,Washington Wizards,L,,99,107,13,28,L 3,18650,2:16:00 AM
42,1/22/2014,7:30p,@,New York Knicks,W,,110,106,14,28,W 1,19812,2:30:00 AM
43,1/24/2014,7:00p,,Toronto Raptors,L,,95,104,14,29,L 1,11489,2:10:00 AM
44,1/25/2014,7:30p,,Oklahoma City Thunder,L,,91,103,14,30,L 2,19217,2:14:00 AM
45,1/27/2014,7:00p,,Phoenix Suns,L,,113,124,14,31,L 3,10793,2:18:00 AM
46,1/29/2014,7:30p,@,Boston Celtics,W,,95,94,15,31,W 1,18624,2:12:00 AM
47,1/31/2014,7:30p,,Atlanta Hawks,L,,99,125,15,32,L 1,14702,2:22:00 AM
48,2/1/2014,7:30p,@,Detroit Pistons,L,,96,113,15,33,L 2,16649,2:15:00 AM
49,2/3/2014,7:30p,@,Brooklyn Nets,L,,102,108,15,34,L 3,16727,2:28:00 AM
50,2/5/2014,7:00p,,Boston Celtics,L,,108,114,15,35,L 4,10267,2:17:00 AM
51,2/7/2014,7:00p,,Los Angeles Lakers,L,,98,112,15,36,L 5,15211,2:03:00 AM
52,2/9/2014,9:30p,@,Los Angeles Clippers,L,,78,123,15,37,L 6,19157,2:07:00 AM
53,2/10/2014,10:30p,@,Golden State Warriors,L,,80,123,15,38,L 7,19596,2:09:00 AM
54,2/12/2014,9:00p,@,Utah Jazz,L,,100,105,15,39,L 8,19368,2:16:00 AM
55,2/18/2014,7:00p,,Cleveland Cavaliers,L,,85,114,15,40,L 9,12904,2:16:00 AM
56,2/21/2014,7:00p,,Dallas Mavericks,L,,112,124,15,41,L 10,14928,2:20:00 AM
57,2/24/2014,7:00p,,Milwaukee Bucks,L,,110,130,15,42,L 11,12216,2:18:00 AM
58,2/26/2014,7:00p,,Orlando Magic,L,,90,101,15,43,L 12,12817,2:11:00 AM
59,3/1/2014,7:30p,,Washington Wizards,L,,103,122,15,44,L 13,20856,2:36:00 AM
60,3/2/2014,6:00p,@,Orlando Magic,L,,81,92,15,45,L 14,16704,2:13:00 AM
61,3/4/2014,8:00p,@,Oklahoma City Thunder,L,,92,125,15,46,L 15,18203,2:19:00 AM
62,3/8/2014,7:30p,,Utah Jazz,L,,92,104,15,47,L 16,13569,2:13:00 AM
63,3/10/2014,7:30p,@,New York Knicks,L,,110,123,15,48,L 17,19812,2:28:00 AM
64,3/12/2014,7:00p,,Sacramento Kings,L,,98,115,15,49,L 18,11109,2:25:00 AM
65,3/14/2014,7:00p,,Indiana Pacers,L,,94,101,15,50,L 19,14754,2:14:00 AM
66,3/15/2014,7:30p,,Memphis Grizzlies,L,,77,103,15,51,L 20,15164,2:15:00 AM
67,3/17/2014,7:00p,@,Indiana Pacers,L,,90,99,15,52,L 21,18165,2:24:00 AM
68,3/19/2014,7:00p,,Chicago Bulls,L,,94,102,15,53,L 22,13222,2:17:00 AM
69,3/21/2014,7:00p,,New York Knicks,L,,92,93,15,54,L 23,12745,2:15:00 AM
70,3/22/2014,8:00p,@,Chicago Bulls,L,,81,91,15,55,L 24,21799,2:13:00 AM
71,3/24/2014,8:30p,@,San Antonio Spurs,L,,91,113,15,56,L 25,17798,1:59:00 AM
72,3/27/2014,8:00p,@,Houston Rockets,L,,98,120,15,57,L 26,18334,2:12:00 AM
73,3/29/2014,7:30p,,Detroit Pistons,W,,123,98,16,57,W 1,17438,2:08:00 AM
74,3/31/2014,7:30p,@,Atlanta Hawks,L,,95,103,16,58,L 1,11096,2:14:00 AM
