Game,Day,Date,StartTime,Home,Opp,TeamScore,OppScore,PointDiff,DefTO,OffTO,TODiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Giants,Cowboys,RegularSeason,WildCard,Division,ConfChamp,SuperBowl
1,Sunday,2014-09-07,13:02:00,0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1,0,2014,1,0,1,0,0,0,1,0,0,0,0
2,Monday,2014-09-15,20:31:00,1,Indianapolis Colts,30.0,27.0,3.0,2.0,1.0,1.0,1,0,2014,2,0,2,0,0,0,1,0,0,0,0
3,Sunday,2014-09-21,13:02:00,0,Washington Redskins,37.0,34.0,3.0,1.0,1.0,0.0,1,0,2014,3,0,3,0,0,0,1,0,0,0,0
4,Sunday,2014-09-28,16:25:00,1,San Francisco 49ers,21.0,26.0,-5.0,1.0,4.0,-3.0,0,0,2014,3,1,-1,0,0,0,1,0,0,0,0
5,Sunday,2014-10-05,13:02:00,0,St. Louis Rams,34.0,28.0,6.0,3.0,3.0,0.0,1,0,2014,4,1,1,0,0,0,1,0,0,0,0
6,Sunday,2014-10-12,20:41:00,0,New York Giants,27.0,0.0,27.0,1.0,2.0,-1.0,1,0,2014,5,1,2,1,1,0,1,0,0,0,0
8,Sunday,2014-10-26,16:05:00,1,Arizona Cardinals,20.0,24.0,-4.0,1.0,3.0,-2.0,0,0,2014,5,2,-1,0,0,0,1,0,0,0,0
9,Sunday,2014-11-02,13:03:00,1,Houston Texans,31.0,21.0,10.0,1.0,4.0,-3.0,1,0,2014,6,2,1,0,0,0,1,0,0,0,0
10,Monday,2014-11-10,20:32:00,0,Carolina Panthers,45.0,21.0,24.0,5.0,0.0,5.0,1,0,2014,7,2,2,0,0,0,1,0,0,0,0
11,Sunday,2014-11-16,16:25:00,1,Green Bay Packers,20.0,53.0,-33.0,0.0,4.0,-4.0,0,0,2014,7,3,-1,0,0,0,1,0,0,0,0
12,Sunday,2014-11-23,13:02:00,0,Tennessee Titans,43.0,24.0,19.0,3.0,2.0,1.0,1,0,2014,8,3,1,0,0,0,1,0,0,0,0
13,Thursday,2014-11-27,16:36:00,1,Dallas Cowboys,33.0,10.0,23.0,3.0,1.0,2.0,1,0,2014,9,3,2,1,0,1,1,0,0,0,0
14,Sunday,2014-12-07,16:25:00,0,Seattle Seahawks,14.0,24.0,-10.0,2.0,2.0,0.0,0,0,2014,9,4,-1,0,0,0,1,0,0,0,0
15,Sunday,2014-12-14,20:35:00,0,Dallas Cowboys,27.0,38.0,-11.0,1.0,3.0,-2.0,0,0,2014,9,5,-2,1,0,1,1,0,0,0,0
16,Saturday,2014-12-20,16:30:00,1,Washington Redskins,24.0,27.0,-3.0,2.0,2.0,0.0,0,0,2014,9,6,-3,0,0,0,1,0,0,0,0
17,Sunday,2014-12-28,13:02:00,1,New York Giants,34.0,26.0,8.0,1.0,1.0,0.0,1,0,2014,10,6,1,1,1,0,1,0,0,0,0
1,Monday,2015-09-14,19:10:00,1,Atlanta Falcons,24.0,26.0,-2.0,2.0,2.0,0.0,0,0,2015,0,1,-1,0,0,0,1,0,0,0,0
2,Sunday,2015-09-20,16:25:00,0,Dallas Cowboys,10.0,20.0,-10.0,2.0,3.0,-1.0,0,0,2015,0,2,-1,1,0,1,1,0,0,0,0
3,Sunday,2015-09-27,13:03:00,1,New York Jets,24.0,17.0,7.0,4.0,1.0,3.0,1,0,2015,1,2,1,0,0,0,1,0,0,0,0
4,Sunday,2015-10-04,13:03:00,1,Washington Redskins,20.0,23.0,-3.0,1.0,2.0,-1.0,0,0,2015,1,3,-1,0,0,0,1,0,0,0,0
5,Sunday,2015-10-11,13:04:00,0,New Orleans Saints,39.0,17.0,22.0,4.0,2.0,2.0,1,0,2015,2,3,1,0,0,0,1,0,0,0,0
6,Monday,2015-10-19,20:30:00,0,New York Giants,27.0,7.0,20.0,3.0,4.0,-1.0,1,0,2015,3,3,2,1,1,0,1,0,0,0,0
7,Sunday,2015-10-25,20:31:00,1,Carolina Panthers,16.0,27.0,-11.0,3.0,1.0,2.0,0,0,2015,3,4,-1,0,0,0,1,0,0,0,0
9,Sunday,2015-11-08,20:31:00,1,Dallas Cowboys,33.0,27.0,6.0,1.0,0.0,1.0,1,1,2015,4,4,1,1,0,1,1,0,0,0,0
