Game,Day,Date,StartTime,LOG,EndTime,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Celtics,Knicks
31,Wednesday,2014-01-01,21:00:00,134,23:14:00,1,16006,Denver Nuggets,114,102,12,1,0,2013,10,21,1,0,0,0
32,Thursday,2014-01-02,22:00:00,143,00:23:00,1,16259,Sacramento Kings,113,104,9,1,0,2013,11,21,2,0,0,0
33,Saturday,2014-01-04,22:00:00,145,00:25:00,1,20004,Portland Trail Blazers,101,99,2,1,0,2013,12,21,3,0,0,0
34,Monday,2014-01-06,19:00:00,121,21:01:00,0,10736,Minnesota Timberwolves,95,126,-31,0,0,2013,12,22,-1,0,0,0
35,Tuesday,2014-01-07,19:00:00,127,21:07:00,1,13344,Cleveland Cavaliers,93,111,-18,0,0,2013,12,23,-2,0,0,0
36,Friday,2014-01-10,19:00:00,137,21:17:00,0,13742,Detroit Pistons,104,114,-10,0,0,2013,12,24,-3,0,0,0
37,Saturday,2014-01-11,19:30:00,136,21:46:00,0,16278,New York Knicks,92,102,-10,0,0,2013,12,25,-4,1,0,1
38,Wednesday,2014-01-15,19:00:00,136,21:16:00,0,10106,Charlotte Bobcats,95,92,3,1,0,2013,13,25,1,0,0,0
39,Friday,2014-01-17,19:00:00,142,21:22:00,0,19286,Miami Heat,86,101,-15,0,0,2013,13,26,-1,0,0,0
40,Saturday,2014-01-18,20:00:00,131,22:11:00,1,21710,Chicago Bulls,78,103,-25,0,0,2013,13,27,-2,0,0,0
41,Monday,2014-01-20,14:00:00,136,16:16:00,1,18650,Washington Wizards,99,107,-8,0,0,2013,13,28,-3,0,0,0
42,Wednesday,2014-01-22,19:30:00,150,22:00:00,1,19812,New York Knicks,110,106,4,1,0,2013,14,28,1,1,0,1
43,Friday,2014-01-24,19:00:00,130,21:10:00,0,11489,Toronto Raptors,95,104,-9,0,0,2013,14,29,-1,0,0,0
44,Saturday,2014-01-25,19:30:00,134,21:44:00,0,19217,Oklahoma City Thunder,91,103,-12,0,0,2013,14,30,-2,0,0,0
45,Monday,2014-01-27,19:00:00,138,21:18:00,0,10793,Phoenix Suns,113,124,-11,0,0,2013,14,31,-3,0,0,0
46,Wednesday,2014-01-29,19:30:00,132,21:42:00,1,18624,Boston Celtics,95,94,1,1,0,2013,15,31,1,1,1,0
47,Friday,2014-01-31,19:30:00,142,21:52:00,0,14702,Atlanta Hawks,99,125,-26,0,0,2013,15,32,-1,0,0,0
48,Saturday,2014-02-01,19:30:00,135,21:45:00,1,16649,Detroit Pistons,96,113,-17,0,0,2013,15,33,-2,0,0,0
49,Monday,2014-02-03,19:30:00,148,21:58:00,1,16727,Brooklyn Nets,102,108,-6,0,0,2013,15,34,-3,0,0,0
50,Wednesday,2014-02-05,19:00:00,137,21:17:00,0,10267,Boston Celtics,108,114,-6,0,0,2013,15,35,-4,1,1,0
